student_id,first_name,last_name,grade_level,class_period,quiz1,quiz2,midterm,project,final_exam,attendance_pct
S2001,Nina,Smith,9,1,80.0,75.7,66.1,75.9,74.6,94.5
S2002,Leo,Martin,10,5,55.0,57.6,68.0,62.6,79.2,91.4
S2003,Lukas,White,12,3,73.3,73.0,84.0,81.1,84.5,93.2
S2004,Ethan,Chen,12,5,100.0,90.0,90.5,100.0,100.0,96.7
S2005,Chloe,Martin,10,3,96.4,88.5,100.0,100.0,100.0,96.3
S2006,Theo,Lewis,9,5,76.0,64.5,84.3,65.1,60.4,93.2
S2007,Natalie,Nguyen,9,2,89.0,92.3,77.9,81.1,76.9,91.5
S2008,Mateo,Wilson,12,2,75.1,65.6,70.4,80.7,82.9,89.4
S2009,Aria,Wilson,12,1,82.3,71.3,64.4,65.8,80.2,94.7
S2010,Lily,Havel,11,5,68.8,73.6,77.6,79.9,76.0,91.6
S2011,Mason,Thomas,12,1,100.0,100.0,100.0,100.0,95.0,92.5
S2012,Grace,Hall,10,2,68.4,82.0,70.3,76.9,76.2,100.0
S2013,Mateo,Jackson,11,2,100.0,99.7,100.0,100.0,90.6,95.0
S2014,Isabella,Jackson,12,5,74.2,98.0,81.5,89.6,76.1,82.9
S2015,Sofia,Brown,11,4,91.2,96.3,88.7,88.0,86.4,93.0
S2016,Ryan,Brown,9,1,91.3,81.2,84.8,90.0,76.4,93.6
S2017,Owen,Chen,12,4,83.1,69.7,83.5,77.0,60.7,88.2
S2018,Ethan,Lee,12,6,69.8,61.4,73.0,77.0,77.3,93.0
S2019,Isabella,Hall,9,1,69.7,67.6,61.5,61.9,71.9,95.2
S2020,Ruby,Jackson,9,2,64.9,49.3,60.8,85.9,52.7,92.2
S2021,Ivy,Havel,12,2,85.2,87.9,87.0,95.6,87.6,100.0
S2022,Jonas,Chen,9,5,78.8,85.6,89.1,92.4,81.5,86.8
S2023,Amelia,Lee,9,4,74.5,64.6,60.7,66.6,70.4,91.4
S2024,Ethan,Hall,11,1,93.5,86.8,92.8,100.0,100.0,90.9
S2025,Ruby,Klein,10,3,73.6,89.7,76.4,74.9,76.3,88.9
S2026,Oliver,Wilson,9,2,71.6,78.5,87.2,85.4,93.2,92.9
S2027,Oliver,Havel,12,3,100.0,95.2,96.1,96.6,83.5,97.4
S2028,Ruby,Garcia,12,5,84.7,70.1,67.7,77.2,72.9,100.0
S2029,Max,Harris,12,2,81.4,95.9,93.1,91.2,80.6,100.0
S2030,Hannah,Clark,12,5,82.1,75.2,67.5,65.9,73.5,93.2
S2031,Aria,Ali,12,6,100.0,100.0,99.2,91.0,83.8,92.1
S2032,Caleb,Dvorak,11,2,84.4,94.5,90.7,87.5,93.4,89.8
S2033,Lily,Thomas,9,1,75.0,92.9,84.4,77.4,93.1,80.5
S2034,Noah,Ali,9,4,86.4,71.0,82.7,80.9,66.7,98.1
S2035,Theo,Nguyen,12,1,96.4,100.0,100.0,93.6,100.0,87.7
S2036,Adam,Klein,11,5,82.9,96.0,83.9,92.9,100.0,100.0
S2037,Leo,Jackson,11,2,57.2,60.2,67.2,57.0,68.4,89.8
S2038,Maya,Chen,9,3,72.2,60.9,48.5,63.7,65.6,88.3
S2039,Ava,Moore,10,4,66.3,50.4,52.4,53.8,63.0,83.0
S2040,Mateo,Clark,9,1,69.3,69.5,80.7,82.3,76.0,95.6
S2041,Ruby,Lee,12,6,73.6,50.5,67.4,69.5,56.8,89.6
S2042,Ben,Svoboda,10,6,73.1,82.9,98.3,81.0,84.7,93.1
S2043,Jack,Dvorak,11,2,75.6,79.4,91.2,83.7,76.7,90.4
S2044,Ryan,Novak,12,4,100.0,100.0,99.9,100.0,93.7,86.4
S2045,Daniel,Rodriguez,11,3,76.4,74.8,64.4,68.8,69.8,98.0
S2046,Maya,Young,12,4,82.3,93.0,97.0,98.5,97.4,90.8
S2047,Theo,Dvorak,12,5,72.5,73.1,76.0,75.1,79.1,91.3
S2048,Ethan,Harris,12,3,81.2,83.5,74.8,77.1,72.5,93.0
S2049,Oliver,Harris,9,1,86.1,92.5,94.4,84.5,83.6,95.9
S2050,Dylan,Jackson,11,2,41.8,53.9,55.5,36.1,39.9,91.3
S2051,Ella,Clark,12,4,78.2,85.5,96.4,83.5,95.4,85.1
S2052,Grace,Moore,9,3,65.0,67.5,62.0,57.1,61.7,99.6
S2053,Elena,Rodriguez,12,6,80.9,71.5,71.1,88.4,74.5,85.8
S2054,Theo,Havel,11,2,76.9,70.4,82.8,81.3,81.5,95.8
S2055,Emma,White,12,2,81.6,79.9,67.3,75.0,74.1,91.8
S2056,Emma,Klein,12,4,71.3,67.9,68.7,68.9,75.9,85.2
S2057,Noah,Dvorak,11,4,67.4,62.5,75.2,68.8,73.4,99.3
S2058,James,Patel,9,6,62.7,46.3,59.1,67.0,56.2,94.4
S2059,Mateo,Moore,10,3,79.8,77.3,100.0,78.0,78.4,99.2
S2060,Ethan,Nguyen,12,1,90.4,88.2,88.4,92.9,82.2,87.7
S2061,Jack,Thomas,12,1,72.2,63.4,60.1,62.3,71.0,98.3
S2062,Owen,Harris,10,5,67.7,53.3,67.5,84.2,71.4,91.0
S2063,James,Chen,10,6,85.9,85.3,87.1,86.0,91.0,94.7
S2064,Noah,Johnson,10,3,76.0,81.2,61.8,61.0,59.1,85.7
S2065,James,Lee,9,5,82.9,91.6,86.2,76.3,72.9,92.7
S2066,Theo,Thomas,9,4,68.1,65.6,68.5,73.7,69.6,98.5
